title,POLT,ALT,PALT,ETT,AET,director,year,Display
The Tall Men,,,,,,Raoul Walsh,1955,"The Tall Men (Raoul Walsh, 1955)"
The King and Four Queens,,,,,,Raoul Walsh,1956,"The King and Four Queens (Raoul Walsh, 1956)"
The Revolt of Mamie Stover,,,,,,Raoul Walsh,1956,"The Revolt of Mamie Stover (Raoul Walsh, 1956)"
Band of Angels,,,,,,Raoul Walsh,1957,"Band of Angels (Raoul Walsh, 1957)"
The Naked and the Dead,,,,,,Raoul Walsh,1958,"The Naked and the Dead (Raoul Walsh, 1958)"
Esther and the King,,,,,,Raoul Walsh,1960,"Esther and the King (Raoul Walsh, 1960)"
Tres tristes tigres,,,,Three Sad Tigers,,Raúl Ruiz,1968,"Tres tristes tigres [Three Sad Tigers] (Raúl Ruiz, 1968)"
Palomita blanca,,,,Little White Dove,,Raúl Ruiz,1973,"Palomita blanca [Little White Dove] (Raúl Ruiz, 1973)"
Diálogos de exiliados,,Dialogue d'exilés,,Dialogues of Exiles,,Raúl Ruiz,1975,"Diálogos de exiliados [Dialogue d'exilés] [Dialogues of Exiles] (Raúl Ruiz, 1975)"
Colloque de chiens,,,,Dog's Dialogue,,Raúl Ruiz,1977,"Colloque de chiens [Dog's Dialogue] (Raúl Ruiz, 1977)"
L'Hypothèse du tableau volé,,,,The Hypothesis of the Stolen Painting,,Raúl Ruiz,1978,"L'Hypothèse du tableau volé [The Hypothesis of the Stolen Painting] (Raúl Ruiz, 1978)"
De grands événements et de gens ordinaires,,,,Of Great Events and Ordinary People,,Raúl Ruiz,1979,"De grands événements et de gens ordinaires [Of Great Events and Ordinary People] (Raúl Ruiz, 1979)"
Het dak van de walvis,,,,On Top of the Whale,,Raúl Ruiz,1982,"Het dak van de walvis [On Top of the Whale] (Raúl Ruiz, 1982)"
Les Trois Couronnes du matelot,,,,Three Crowns of the Sailor,,Raúl Ruiz,1982,"Les Trois Couronnes du matelot [Three Crowns of the Sailor] (Raúl Ruiz, 1982)"
La Ville des pirates,,,,City of Pirates,,Raúl Ruiz,1983,"La Ville des pirates [City of Pirates] (Raúl Ruiz, 1983)"
Manoël dans l'île des merveilles,,Les Destins de Manoël,,Manuel on the Island of Marvels,,Raúl Ruiz,1985,"Manoël dans l'île des merveilles [Les Destins de Manoël] [Manuel on the Island of Marvels] (Raúl Ruiz, 1985)"
Mammame,,,,,,Raúl Ruiz,1986,"Mammame (Raúl Ruiz, 1986)"
Mémoire des apparences,,,,Life Is a Dream,,Raúl Ruiz,1986,"Mémoire des apparences [Life Is a Dream] (Raúl Ruiz, 1986)"
La Chouette aveugle,,,,The Blind Owl,,Raúl Ruiz,1987,"La Chouette aveugle [The Blind Owl] (Raúl Ruiz, 1987)"
L'Œil qui ment,,,,Dark at Noon,,Raúl Ruiz,1992,"L'Œil qui ment [Dark at Noon] (Raúl Ruiz, 1992)"
Trois vies et une seule mort,,,,Three Lives and Only One Death,,Raúl Ruiz,1996,"Trois vies et une seule mort [Three Lives and Only One Death] (Raúl Ruiz, 1996)"
Le Temps retrouvé,,,,Time Regained,,Raúl Ruiz,1999,"Le Temps retrouvé [Time Regained] (Raúl Ruiz, 1999)"
Combat d'amour en songe,,,,Love Torn in a Dream,,Raúl Ruiz,2000,"Combat d'amour en songe [Love Torn in a Dream] (Raúl Ruiz, 2000)"
"Cofralandes, rapsodia chilena",,,,"Cofralandes, Chilean Rhapsody",,Raúl Ruiz,2002,"Cofralandes, rapsodia chilena [Cofralandes, Chilean Rhapsody] (Raúl Ruiz, 2002)"
Ce jour-là,,,,That Day,,Raúl Ruiz,2003,"Ce jour-là [That Day] (Raúl Ruiz, 2003)"
Días de campo,,,,Days in the Country,,Raúl Ruiz,2004,"Días de campo [Days in the Country] (Raúl Ruiz, 2004)"
Mistérios de Lisboa,,,,Mysteries of Lisbon,,Raúl Ruiz,2010,"Mistérios de Lisboa [Mysteries of Lisbon] (Raúl Ruiz, 2010)"
La noche de enfrente,,,,Night Across the Street,,Raúl Ruiz,2012,"La noche de enfrente [Night Across the Street] (Raúl Ruiz, 2012)"
La telenovela errante,,,,The Wandering Soap Opera,,Raúl Ruiz & Valeria Sarmiento,2017,"La telenovela errante [The Wandering Soap Opera] (Raúl Ruiz & Valeria Sarmiento, 2017)"
Le Miracle des loups,,,,The Miracle of the Wolves,,Raymond Bernard,1924,"Le Miracle des loups [The Miracle of the Wolves] (Raymond Bernard, 1924)"
Le Joueur d'échecs,,,,The Chess Player,,Raymond Bernard,1927,"Le Joueur d'échecs [The Chess Player] (Raymond Bernard, 1927)"
Faubourg Montmartre,,,,,,Raymond Bernard,1931,"Faubourg Montmartre (Raymond Bernard, 1931)"
Les Croix de bois,,,,Wooden Crosses,,Raymond Bernard,1932,"Les Croix de bois [Wooden Crosses] (Raymond Bernard, 1932)"
Les Misérables,,,,,,Raymond Bernard,1934,"Les Misérables (Raymond Bernard, 1934)"
J'étais une aventurière,,,,I Was an Adventuress,,Raymond Bernard,1938,"J'étais une aventurière [I Was an Adventuress] (Raymond Bernard, 1938)"
Adieu chérie,,,,Goodbye Darling,,Raymond Bernard,1946,"Adieu chérie [Goodbye Darling] (Raymond Bernard, 1946)"
Paris qui dort,,,,The Crazy Ray,,René Clair,1923,"Paris qui dort [The Crazy Ray] (René Clair, 1923)"
Entr'acte,,,,,,René Clair,1924,"Entr'acte (René Clair, 1924)"
Le Fantôme du Moulin-Rouge,,,,The Phantom of the Moulin-Rouge,,René Clair,1925,"Le Fantôme du Moulin-Rouge [The Phantom of the Moulin-Rouge] (René Clair, 1925)"
Un chapeau de paille d'Italie,,,,The Italian Straw Hat,,René Clair,1927,"Un chapeau de paille d'Italie [The Italian Straw Hat] (René Clair, 1927)"
La Tour,,,,,,René Clair,1928,"La Tour (René Clair, 1928)"
Les Deux Timides,,,,Two Timid Souls,,René Clair,1928,"Les Deux Timides [Two Timid Souls] (René Clair, 1928)"
Sous les toits de Paris,,,,Under the Roofs of Paris,,René Clair,1930,"Sous les toits de Paris [Under the Roofs of Paris] (René Clair, 1930)"
À nous la liberté,,,,Freedom for Us,,René Clair,1931,"À nous la liberté [Freedom for Us] (René Clair, 1931)"
Le Million,,,,The Million,,René Clair,1931,"Le Million [The Million] (René Clair, 1931)"
Quatorze juillet,,,,Bastille Day,,René Clair,1933,"Quatorze juillet [Bastille Day] (René Clair, 1933)"
Le Dernier Milliardaire,,,,The Last Billionaire,,René Clair,1934,"Le Dernier Milliardaire [The Last Billionaire] (René Clair, 1934)"
Les Belles de nuit,,,,Beauties of the Night,,René Clair,1952,"Les Belles de nuit [Beauties of the Night] (René Clair, 1952)"
Les Grandes Manœuvres,,,,The Grand Maneuver,,René Clair,1955,"Les Grandes Manœuvres [The Grand Maneuver] (René Clair, 1955)"
La Bataille du rail,,,,Battle of the Rails,,René Clément,1946,"La Bataille du rail [Battle of the Rails] (René Clément, 1946)"
Le Père tranquille,,,,Mr. Orchid,,René Clément,1946,"Le Père tranquille [Mr. Orchid] (René Clément, 1946)"
Les Maudits,,,,The Damned,,René Clément,1947,"Les Maudits [The Damned] (René Clément, 1947)"
Jeux interdits,,,,Forbidden Games,,René Clément,1952,"Jeux interdits [Forbidden Games] (René Clément, 1952)"
Gervaise,,,,,,René Clément,1956,"Gervaise (René Clément, 1956)"
The Running Jumping & Standing Still Film,,,,,,Richard Lester,1959,"The Running Jumping & Standing Still Film (Richard Lester, 1959)"
A Hard Day's Night,,,,,,Richard Lester,1964,"A Hard Day's Night (Richard Lester, 1964)"
Help!,,,,,,Richard Lester,1965,"Help! (Richard Lester, 1965)"
The Knack... and How to Get It,,,,,,Richard Lester,1965,"The Knack... and How to Get It (Richard Lester, 1965)"
A Funny Thing Happened on the Way to the Forum,,,,,,Richard Lester,1966,"A Funny Thing Happened on the Way to the Forum (Richard Lester, 1966)"
How I Won the War,,,,,,Richard Lester,1967,"How I Won the War (Richard Lester, 1967)"
Petulia,,,,,,Richard Lester,1968,"Petulia (Richard Lester, 1968)"
The Bed Sitting Room,,,,,,Richard Lester,1969,"The Bed Sitting Room (Richard Lester, 1969)"
The Three Musketeers,,,,,,Richard Lester,1973,"The Three Musketeers (Richard Lester, 1973)"
The Four Musketeers,,,,,,Richard Lester,1974,"The Four Musketeers (Richard Lester, 1974)"
The Ritz,,,,,,Richard Lester,1976,"The Ritz (Richard Lester, 1976)"
Robin and Marian,,,,,,Richard Lester,1976,"Robin and Marian (Richard Lester, 1976)"
Superman II,,,,,,Richard Lester,1980,"Superman II (Richard Lester, 1980)"
Les Anges du péché,,,,Angels of Sin,,Robert Bresson,1943,"Les Anges du péché [Angels of Sin] (Robert Bresson, 1943)"
Les Dames du Bois de Boulogne,,,,The Ladies of the Bois de Boulogne,,Robert Bresson,1945,"Les Dames du Bois de Boulogne [The Ladies of the Bois de Boulogne] (Robert Bresson, 1945)"
Journal d'un curé de campagne,,,,Diary of a Country Priest,,Robert Bresson,1951,"Journal d'un curé de campagne [Diary of a Country Priest] (Robert Bresson, 1951)"
Un condamné à mort s'est échappé ou Le vent souffle où il veut,,,,A Man Escaped,,Robert Bresson,1956,"Un condamné à mort s'est échappé ou Le vent souffle où il veut [A Man Escaped] (Robert Bresson, 1956)"
Pickpocket,,,,,,Robert Bresson,1959,"Pickpocket (Robert Bresson, 1959)"
Procès de Jeanne d'Arc,,,,Trial of Joan of Arc,,Robert Bresson,1962,"Procès de Jeanne d'Arc [Trial of Joan of Arc] (Robert Bresson, 1962)"
Au hasard Balthazar,,,,,,Robert Bresson,1966,"Au hasard Balthazar (Robert Bresson, 1966)"
Mouchette,,,,,,Robert Bresson,1967,"Mouchette (Robert Bresson, 1967)"
Une femme douce,,,,A Gentle Woman,,Robert Bresson,1969,"Une femme douce [A Gentle Woman] (Robert Bresson, 1969)"
Quatre nuits d'un rêveur,,,,Four Nights of a Dreamer,,Robert Bresson,1971,"Quatre nuits d'un rêveur [Four Nights of a Dreamer] (Robert Bresson, 1971)"
Lancelot du Lac,,,,Lancelot of the Lake,,Robert Bresson,1974,"Lancelot du Lac [Lancelot of the Lake] (Robert Bresson, 1974)"
Le Diable probablement,,,,"The Devil, Probably",,Robert Bresson,1977,"Le Diable probablement [The Devil, Probably] (Robert Bresson, 1977)"
L'Argent,,,,,,Robert Bresson,1983,"L'Argent (Robert Bresson, 1983)"
Ro.Go.Pa.G.,,,,,,"Roberto Rossellini, Jean-Luc Godard, Pier Paolo Pasolini & Ugo Gregoretti",1963,"Ro.Go.Pa.G. (Roberto Rossellini, Jean-Luc Godard, Pier Paolo Pasolini & Ugo Gregoretti, 1963)"
Dwaj ludzie z szafą,,,,Two Men and a Wardrobe,,Roman Polanski,1958,"Dwaj ludzie z szafą [Two Men and a Wardrobe] (Roman Polanski, 1958)"
Nóż w wodzie,,,,Knife in the Water,,Roman Polanski,1962,"Nóż w wodzie [Knife in the Water] (Roman Polanski, 1962)"
Ssaki,,,,Mammals,,Roman Polanski,1962,"Ssaki [Mammals] (Roman Polanski, 1962)"
Repulsion,,,,,,Roman Polanski,1965,"Repulsion (Roman Polanski, 1965)"
Cul-de-sac,,,,,,Roman Polanski,1966,"Cul-de-sac (Roman Polanski, 1966)"
The Fearless Vampire Killers,,,,,Dance of the Vampires,Roman Polanski,1967,"The Fearless Vampire Killers [Dance of the Vampires] (Roman Polanski, 1967)"
Rosemary's Baby,,,,,,Roman Polanski,1968,"Rosemary's Baby (Roman Polanski, 1968)"
Macbeth,,,,,,Roman Polanski,1971,"Macbeth (Roman Polanski, 1971)"
Che?,,,,What?,,Roman Polanski,1972,"Che? [What?] (Roman Polanski, 1972)"
Chinatown,,,,,,Roman Polanski,1974,"Chinatown (Roman Polanski, 1974)"
The Tenant,,Le Locataire,,,,Roman Polanski,1976,"The Tenant [Le Locataire] (Roman Polanski, 1976)"
Tess,,,,,,Roman Polanski,1979,"Tess (Roman Polanski, 1979)"
Frantic,,,,,,Roman Polanski,1988,"Frantic (Roman Polanski, 1988)"
Bitter Moon,,,,,,Roman Polanski,1992,"Bitter Moon (Roman Polanski, 1992)"
Death and the Maiden,,,,,,Roman Polanski,1994,"Death and the Maiden (Roman Polanski, 1994)"
The Ninth Gate,,,,,,Roman Polanski,1999,"The Ninth Gate (Roman Polanski, 1999)"
The Pianist,,,,,,Roman Polanski,2002,"The Pianist (Roman Polanski, 2002)"
The Ghost Writer,,,,,The Ghost,Roman Polanski,2010,"The Ghost Writer [The Ghost] (Roman Polanski, 2010)"
Carnage,,,,,,Roman Polanski,2011,"Carnage (Roman Polanski, 2011)"
La Vénus à la fourrure,,,,Venus in Fur,,Roman Polanski,2013,"La Vénus à la fourrure [Venus in Fur] (Roman Polanski, 2013)"
J'accuse,,,,An Officer and a Spy,,Roman Polanski,2019,"J'accuse [An Officer and a Spy] (Roman Polanski, 2019)"
Fatty's Tintype Tangle,,,,,,Roscoe 'Fatty' Arbuckle,1915,"Fatty's Tintype Tangle (Roscoe 'Fatty' Arbuckle, 1915)"
The Butcher Boy,,,,,,Roscoe 'Fatty' Arbuckle,1917,"The Butcher Boy (Roscoe 'Fatty' Arbuckle, 1917)"
Oh Doctor!,,,,,,Roscoe 'Fatty' Arbuckle,1917,"Oh Doctor! (Roscoe 'Fatty' Arbuckle, 1917)"
The Cook,,,,,,Roscoe 'Fatty' Arbuckle,1918,"The Cook (Roscoe 'Fatty' Arbuckle, 1918)"
Scene of the Crime,,,,,,Roy Rowland,1949,"Scene of the Crime (Roy Rowland, 1949)"
"The 5,000 Fingers of Dr. T",,,,,,Roy Rowland,1953,"The 5,000 Fingers of Dr. T (Roy Rowland, 1953)"
Rogue Cop,,,,,,Roy Rowland,1954,"Rogue Cop (Roy Rowland, 1954)"
Witness to Murder,,,,,,Roy Rowland,1954,"Witness to Murder (Roy Rowland, 1954)"
Hit the Deck,,,,,,Roy Rowland,1955,"Hit the Deck (Roy Rowland, 1955)"
Hemel,,,,,,Sacha Polak,2012,"Hemel (Sacha Polak, 2012)"
Film,,,,,,Samuel Beckett & Alan Schneider,1965,"Film (Samuel Beckett & Alan Schneider, 1965)"
পথের পাঁচালী,Pather Panchali,,,Song of the Little Road,,Satyajit Ray,1955,"পথের পাঁচালী [Pather Panchali] [Song of the Little Road] (Satyajit Ray, 1955)"
অপরাজিত,Aparajito,,,The Unvanquished,,Satyajit Ray,1956,"অপরাজিত [Aparajito] [The Unvanquished] (Satyajit Ray, 1956)"
জলসাঘর,Jalsaghar,,,The Music Room,,Satyajit Ray,1958,"জলসাঘর [Jalsaghar] [The Music Room] (Satyajit Ray, 1958)"
পরশ পাথর,Parash Pathar,,,The Philosopher's Stone,,Satyajit Ray,1958,"পরশ পাথর [Parash Pathar] [The Philosopher's Stone] (Satyajit Ray, 1958)"
অপুর সংসার,Apur Sansar,,,The World of Apu,,Satyajit Ray,1959,"অপুর সংসার [Apur Sansar] [The World of Apu] (Satyajit Ray, 1959)"
দেবী,Devi,,,The Goddess,,Satyajit Ray,1960,"দেবী [Devi] [The Goddess] (Satyajit Ray, 1960)"
রবীন্দ্রনাথ ঠাকুর,Rabindranath Tagore,,,,,Satyajit Ray,1961,"রবীন্দ্রনাথ ঠাকুর [Rabindranath Tagore] (Satyajit Ray, 1961)"
তিন কন্যা,Teen Kanya,,,Three Daughters,,Satyajit Ray,1961,"তিন কন্যা [Teen Kanya] [Three Daughters] (Satyajit Ray, 1961)"
কাঞ্চনজঙ্ঘা,Kanchenjungha,,,,,Satyajit Ray,1962,"কাঞ্চনজঙ্ঘা [Kanchenjungha] (Satyajit Ray, 1962)"
অভিযান,Abhijan,,,The Expedition,,Satyajit Ray,1962,"অভিযান [Abhijan] [The Expedition] (Satyajit Ray, 1962)"
মহানগর,Mahanagar,,,The Big City,,Satyajit Ray,1963,"মহানগর [Mahanagar] [The Big City] (Satyajit Ray, 1963)"
চারুলতা,Charulata,,,The Lonely Wife,,Satyajit Ray,1964,"চারুলতা [Charulata] [The Lonely Wife] (Satyajit Ray, 1964)"
কাপুরুষ,Kapurush,,,The Coward,,Satyajit Ray,1965,"কাপুরুষ [Kapurush] [The Coward] (Satyajit Ray, 1965)"
মহাপুরুষ,Mahapurush,,,The Holy Man,,Satyajit Ray,1965,"মহাপুরুষ [Mahapurush] [The Holy Man] (Satyajit Ray, 1965)"
নায়ক,Nayak,,,The Hero,,Satyajit Ray,1966,"নায়ক [Nayak] [The Hero] (Satyajit Ray, 1966)"
গুপী গাইন বাঘা বাইন,Goopy Gyne Bagha Byne,,,The Adventures of Goopy and Bagha,,Satyajit Ray,1969,"গুপী গাইন বাঘা বাইন [Goopy Gyne Bagha Byne] [The Adventures of Goopy and Bagha] (Satyajit Ray, 1969)"
প্রতিদ্বন্দ্বী,Pratidwandi,,,The Adversary,,Satyajit Ray,1970,"প্রতিদ্বন্দ্বী [Pratidwandi] [The Adversary] (Satyajit Ray, 1970)"
অরণ্যের দিনরাত্রি,Aranyer Din Ratri,,,Days and Nights in the Forest,,Satyajit Ray,1970,"অরণ্যের দিনরাত্রি [Aranyer Din Ratri] [Days and Nights in the Forest] (Satyajit Ray, 1970)"
সীমাবদ্ধ,Seemabaddha,,,Company Limited,,Satyajit Ray,1971,"সীমাবদ্ধ [Seemabaddha] [Company Limited] (Satyajit Ray, 1971)"
অশনি সংকেত,Ashani Sanket,,,Distant Thunder,,Satyajit Ray,1973,"অশনি সংকেত [Ashani Sanket] [Distant Thunder] (Satyajit Ray, 1973)"
জন অরণ্য,Jana Aranya,,,The Middleman,,Satyajit Ray,1976,"জন অরণ্য [Jana Aranya] [The Middleman] (Satyajit Ray, 1976)"
শতরঞ্জ কে খিলাড়ি,Shatranj Ke Khilari,,,The Chess Players,,Satyajit Ray,1977,"শতরঞ্জ কে খিলাড়ি [Shatranj Ke Khilari] [The Chess Players] (Satyajit Ray, 1977)"
পিকু,Pikoo,,,,,Satyajit Ray,1981,"পিকু [Pikoo] (Satyajit Ray, 1981)"
ঘরে বাইরে,Ghare Baire,,,The Home and the World,,Satyajit Ray,1984,"ঘরে বাইরে [Ghare Baire] [The Home and the World] (Satyajit Ray, 1984)"
গণশত্রু,Ganashatru,,,Enemy of the People,,Satyajit Ray,1990,"গণশত্রু [Ganashatru] [Enemy of the People] (Satyajit Ray, 1990)"
শাখা-প্রশাখা,Shakha Proshakha,,,Branches of the Tree,,Satyajit Ray,1990,"শাখা-প্রশাখা [Shakha Proshakha] [Branches of the Tree] (Satyajit Ray, 1990)"
আগন্তুক,Agantuk,,,The Stranger,,Satyajit Ray,1991,"আগন্তুক [Agantuk] [The Stranger] (Satyajit Ray, 1991)"
８時間の恐怖,Hachijikan no kyōfu,,,Eight Hours of Terror,,Seijun Suzuki,1957,"８時間の恐怖 [Hachijikan no kyōfu] [Eight Hours of Terror] (Seijun Suzuki, 1957)"
暗黒街の美女,Ankokugai no bijo,,,Underworld Beauty,,Seijun Suzuki,1958,"暗黒街の美女 [Ankokugai no bijo] [Underworld Beauty] (Seijun Suzuki, 1958)"
踏みはずした春,Fumihazushita haru,,,The Boy Who Came Back,Spring Never Came,Seijun Suzuki,1958,"踏みはずした春 [Fumihazushita haru] [The Boy Who Came Back] [Spring Never Came] (Seijun Suzuki, 1958)"
影なき声,Kagenaki koe,,,Voice Without a Shadow,,Seijun Suzuki,1958,"影なき声 [Kagenaki koe] [Voice Without a Shadow] (Seijun Suzuki, 1958)"
１３号待避線より　その護送車を狙え,Jūsangō taihisen yori: Sono gosōsha o nerae,,,Take Aim at the Police Van,,Seijun Suzuki,1960,"１３号待避線より　その護送車を狙え [Jūsangō taihisen yori: Sono gosōsha o nerae] [Take Aim at the Police Van] (Seijun Suzuki, 1960)"
すべてが狂ってる,Subete ga kurutteru,,,Everything Goes Wrong,,Seijun Suzuki,1960,"すべてが狂ってる [Subete ga kurutteru] [Everything Goes Wrong] (Seijun Suzuki, 1960)"
けものの眠り,Kemono no nemuri,,,The Sleeping Beast Within,,Seijun Suzuki,1960,"けものの眠り [Kemono no nemuri] [The Sleeping Beast Within] (Seijun Suzuki, 1960)"
密航０ライン,Mikkō zero rain,,,Smashing the 0-Line,,Seijun Suzuki,1960,"密航０ライン [Mikkō zero rain] [Smashing the 0-Line] (Seijun Suzuki, 1960)"
峠を渡る若い風,Tōge o wataru wakai kaze,,,The Wind-of-Youth Group Crosses the Mountain Pass,,Seijun Suzuki,1961,"峠を渡る若い風 [Tōge o wataru wakai kaze] [The Wind-of-Youth Group Crosses the Mountain Pass] (Seijun Suzuki, 1961)"
東京騎士隊,Tōkyō naito,,,Tokyo Nights,,Seijun Suzuki,1961,"東京騎士隊 [Tōkyō naito] [Tokyo Nights] (Seijun Suzuki, 1961)"
散弾銃の男,Sandanjū no otoko,,,The Man with a Shotgun,,Seijun Suzuki,1961,"散弾銃の男 [Sandanjū no otoko] [The Man with a Shotgun] (Seijun Suzuki, 1961)"
ハイティーンやくざ,Hai tiin yakuza,,,Teenage Yakuza,,Seijun Suzuki,1962,"ハイティーンやくざ [Hai tiin yakuza] [Teenage Yakuza] (Seijun Suzuki, 1962)"
野獣の青春,Yaju no seishun,,,Youth of the Beast,,Seijun Suzuki,1963,"野獣の青春 [Yaju no seishun] [Youth of the Beast] (Seijun Suzuki, 1963)"
悪太郎,Akutarō,,,The Incorrigible,The Bastard,Seijun Suzuki,1963,"悪太郎 [Akutarō] [The Incorrigible] [The Bastard] (Seijun Suzuki, 1963)"
探偵事務所２３ くたばれ悪党ども,Tantei jimusho 23: Kutabare akutōdomo,,,Detective Bureau 2-3: Go to Hell Bastards!,,Seijun Suzuki,1963,"探偵事務所２３ くたばれ悪党ども [Tantei jimusho 23: Kutabare akutōdomo] [Detective Bureau 2-3: Go to Hell Bastards!] (Seijun Suzuki, 1963)"
肉体の門,Nikutai no mon,,,Gate of Flesh,,Seijun Suzuki,1964,"肉体の門 [Nikutai no mon] [Gate of Flesh] (Seijun Suzuki, 1964)"
春婦伝,Shunpu den,,,Story of a Prostitute,,Seijun Suzuki,1965,"春婦伝 [Shunpu den] [Story of a Prostitute] (Seijun Suzuki, 1965)"
刺青一代,Irezumi ichidai,,,Tattooed Life,,Seijun Suzuki,1965,"刺青一代 [Irezumi ichidai] [Tattooed Life] (Seijun Suzuki, 1965)"
悪太郎伝　悪い星の下でも,Akutarō den: Warui hoshi no shita demo,,,Born Under Crossed Stars,,Seijun Suzuki,1965,"悪太郎伝　悪い星の下でも [Akutarō den: Warui hoshi no shita demo] [Born Under Crossed Stars] (Seijun Suzuki, 1965)"
けんかえれじい,Kenka erejii,,,Fighting Elegy,,Seijun Suzuki,1966,"けんかえれじい [Kenka erejii] [Fighting Elegy] (Seijun Suzuki, 1966)"
東京流れ者 ,Tōkyō nagaremono,,,Tokyo Drifter,,Seijun Suzuki,1966,"東京流れ者  [Tōkyō nagaremono] [Tokyo Drifter] (Seijun Suzuki, 1966)"
殺しの烙印,Koroshi no rakuin,,,Branded to Kill,,Seijun Suzuki,1967,"殺しの烙印 [Koroshi no rakuin] [Branded to Kill] (Seijun Suzuki, 1967)"
悲愁物語,Hishū monogatari,,,A Tale of Sorrow and Sadness,,Seijun Suzuki,1977,"悲愁物語 [Hishū monogatari] [A Tale of Sorrow and Sadness] (Seijun Suzuki, 1977)"
ツィゴイネルワイゼン,Zigeunerweisen,,,,,Seijun Suzuki,1980,"ツィゴイネルワイゼン [Zigeunerweisen] (Seijun Suzuki, 1980)"
陽炎座,Kagerô-za,,,,,Seijun Suzuki,1981,"陽炎座 [Kagerô-za] (Seijun Suzuki, 1981)"
カポネ大いに泣く,Kapone ōi ni naku,,,Capone Cries a Lot,,Seijun Suzuki,1985,"カポネ大いに泣く [Kapone ōi ni naku] [Capone Cries a Lot] (Seijun Suzuki, 1985)"
夢二,Yumeji,,,,,Seijun Suzuki,1991,"夢二 [Yumeji] (Seijun Suzuki, 1991)"
ピストルオペラ,Pisutoru opera,,,Pistol Opera,,Seijun Suzuki,2001,"ピストルオペラ [Pisutoru opera] [Pistol Opera] (Seijun Suzuki, 2001)"
オペレッタ狸御殿,Operetta Tanuki Goten,,,Princess Raccoon,,Seijun Suzuki,2005,"オペレッタ狸御殿 [Operetta Tanuki Goten] [Princess Raccoon] (Seijun Suzuki, 2005)"
Den muso,,,,The Young Girl,,Souleymane Cissé,1975,"Den muso [The Young Girl] (Souleymane Cissé, 1975)"
Baara,,,,,,Souleymane Cissé,1978,"Baara (Souleymane Cissé, 1978)"
Finye,,,,The Wind,,Souleymane Cissé,1982,"Finye [The Wind] (Souleymane Cissé, 1982)"
Yeelen,,,,Brightness,,Souleymane Cissé,1987,"Yeelen [Brightness] (Souleymane Cissé, 1987)"
Duel,,,,,,Steven Spielberg,1971,"Duel (Steven Spielberg, 1971)"
Something Evil,,,,,,Steven Spielberg,1972,"Something Evil (Steven Spielberg, 1972)"
The Sugarland Express,,,,,,Steven Spielberg,1974,"The Sugarland Express (Steven Spielberg, 1974)"
Jaws,,,,,,Steven Spielberg,1975,"Jaws (Steven Spielberg, 1975)"
Close Encounters of the Third Kind,,,,,,Steven Spielberg,1977,"Close Encounters of the Third Kind (Steven Spielberg, 1977)"
1941,,,,,,Steven Spielberg,1979,"1941 (Steven Spielberg, 1979)"
Raiders of the Lost Ark,,,,,,Steven Spielberg,1981,"Raiders of the Lost Ark (Steven Spielberg, 1981)"
E.T.: The Extra-Terrestrial,,,,,,Steven Spielberg,1982,"E.T.: The Extra-Terrestrial (Steven Spielberg, 1982)"
Indiana Jones and the Temple of Doom,,,,,,Steven Spielberg,1984,"Indiana Jones and the Temple of Doom (Steven Spielberg, 1984)"
The Color Purple,,,,,,Steven Spielberg,1985,"The Color Purple (Steven Spielberg, 1985)"
Empire of the Sun,,,,,,Steven Spielberg,1987,"Empire of the Sun (Steven Spielberg, 1987)"
Indiana Jones and the Last Crusade,,,,,,Steven Spielberg,1989,"Indiana Jones and the Last Crusade (Steven Spielberg, 1989)"
Hook,,,,,,Steven Spielberg,1991,"Hook (Steven Spielberg, 1991)"
Jurassic Park,,,,,,Steven Spielberg,1993,"Jurassic Park (Steven Spielberg, 1993)"
Schindler's List,,,,,,Steven Spielberg,1993,"Schindler's List (Steven Spielberg, 1993)"
Amistad,,,,,,Steven Spielberg,1997,"Amistad (Steven Spielberg, 1997)"
The Lost World: Jurassic Park,,,,,,Steven Spielberg,1997,"The Lost World: Jurassic Park (Steven Spielberg, 1997)"
Saving Private Ryan,,,,,,Steven Spielberg,1998,"Saving Private Ryan (Steven Spielberg, 1998)"
A.I.: Artificial Intelligence,,,,,,Steven Spielberg,2001,"A.I.: Artificial Intelligence (Steven Spielberg, 2001)"
Catch Me If You Can,,,,,,Steven Spielberg,2002,"Catch Me If You Can (Steven Spielberg, 2002)"
Minority Report,,,,,,Steven Spielberg,2002,"Minority Report (Steven Spielberg, 2002)"
The Terminal,,,,,,Steven Spielberg,2004,"The Terminal (Steven Spielberg, 2004)"
Munich,,,,,,Steven Spielberg,2005,"Munich (Steven Spielberg, 2005)"
War of the Worlds,,,,,,Steven Spielberg,2005,"War of the Worlds (Steven Spielberg, 2005)"
Indiana Jones and the Kingdom of the Crystal Skull,,,,,,Steven Spielberg,2008,"Indiana Jones and the Kingdom of the Crystal Skull (Steven Spielberg, 2008)"
The Adventures of Tintin,,,,,,Steven Spielberg,2011,"The Adventures of Tintin (Steven Spielberg, 2011)"
Lincoln,,,,,,Steven Spielberg,2012,"Lincoln (Steven Spielberg, 2012)"
Bridge of Spies,,,,,,Steven Spielberg,2015,"Bridge of Spies (Steven Spielberg, 2015)"
The BFG,,,,,,Steven Spielberg,2016,"The BFG (Steven Spielberg, 2016)"
The Post,,,,,,Steven Spielberg,2017,"The Post (Steven Spielberg, 2017)"
Ready Player One,,,,,,Steven Spielberg,2018,"Ready Player One (Steven Spielberg, 2018)"
